address,truth_lat,truth_lon
"11 spring street apt 5 Newburgh NY 12550",41.49726906564731, -74.01171163153876
"52 Hemenway St Unit 3B, boston, Massachusetts",42.3452286055686, -71.08923117383888
"4 Huntoon St, APT #2 Boston MA 02124",42.27229160441151, -71.06499987384132
"52 monument ave, Apt 4, Boston, Massachussets 02129",42.37532894080831, -71.06184453335692
"88 park ave suite 12 brooklyn new york 11205",40.69617679329821, -73.97523020273026
"350 5th Ave APT 210, New York NY",40.748522147042664, -73.98546847389306
"1600 broadway, unit 7C, New York, ny 10019",40.76032429597007, -73.98434674505718
"220 w 42nd st Apt 15B new york New York 10036",40.75676021881292, -73.98714284690546
"1 Woodward Ave apt 900 detroit MI",42.32901841541392, -83.04547893151032
"3011 W Grand Blvd, Unit 4, Detroit, Michigan 48202",42.3697336765223, -83.0774895180152
"1401 pennsylvania ave nw APT 5, Washington DC",38.89677112269789, -77.03240639114325
"1355 Market St suite 900 san francisco california 94103",37.773850081059486, -122.41958311631774
"100 commercial st, Apt 2A, Portland Maine",43.65658342882784, -70.25098344310936
"111 S Grand Ave unit 3300, los angeles, CA",34.055569705041904, -118.24993947409781
"2200 central ave APT 6 Alameda Californa 94501",37.771558509228655, -122.28968747583663
"11 Spring St Apt 5, newburgh, new york 12550",41.49726906564731, -74.01171163153876
"11 spring street, apt 5 Newburgh NY",41.49726906564731, -74.01171163153876
"52 hemenway street unit 3b boston MA 02115",42.3452286055686, -71.08923117383888
"52 Hemenway St, Apt 3B, Boston massachusets",42.3452286055686, -71.08923117383888
"4 huntoon st apt 2 boston Massachusetts 02124",42.27229160441151, -71.06499987384132
"4 Huntoon Street, Unit 2, boston MA",42.27229160441151, -71.06499987384132
"52 Monument Ave apt 4 boston MA 02129",42.37532894080831, -71.06184453335692
"52 monument avenue, Apt 4 Boston, Massachusetts",42.37532894080831, -71.06184453335692
"88 Park Ave, suite 12, Brooklyn NY",40.69617679329821, -73.97523020273026
"88 park avenue apt 12 brooklyn new york 11205",40.69617679329821, -73.97523020273026
"350 fifth ave apt 210, new york NY 10118",40.748522147042664, -73.98546847389306
"350 5th Avenue Unit 210 New York new york",40.748522147042664, -73.98546847389306
"1600 Broadway Apt 7C new york ny",40.76032429597007, -73.98434674505718
"1600 broadway, unit 7c, New York, NY 10019",40.76032429597007, -73.98434674505718
"220 West 42nd St apt 15B, New York NY 10036",40.75676021881292, -73.98714284690546
"220 w 42nd street unit 15b new york new york",40.75676021881292, -73.98714284690546
"1 woodward ave, apt 900, detroit MI 48226",42.32901841541392, -83.04547893151032
"1 Woodward Avenue Unit 900 Detroit Michigan",42.32901841541392, -83.04547893151032
"3011 west grand blvd apt 4 Detroit MI",42.3697336765223, -83.0774895180152
"3011 W Grand Boulevard, unit 4, detroit michigan 48202",42.3697336765223, -83.0774895180152
"1401 pennsylvania avenue nw, apt 5 washington DC 20004",38.89677112269789, -77.03240639114325
"1401 Pennsylvania Ave NW Unit 5, Washington, district of columbia",38.89677112269789, -77.03240639114325
"1355 market st, apt 900, san francisco ca",37.773850081059486, -122.41958311631774
"1355 Market Street Suite 900 San Francisco California 94103",37.773850081059486, -122.41958311631774
"100 Commercial St Apt 2A portland ME 04101",43.65658342882784, -70.25098344310936
"100 commercial street, unit 2a, Portland, maine",43.65658342882784, -70.25098344310936
"111 south grand ave apt 3300 los angeles CA 90012",34.055569705041904, -118.24993947409781
"111 S Grand Avenue, Unit 3300, Los Angeles californa",34.055569705041904, -118.24993947409781
"2200 Central Ave apt 6, alameda CA 94501",37.771558509228655, -122.28968747583663
"2200 central avenue unit 6 Alameda California",37.771558509228655, -122.28968747583663
